n,dim,mode,index,upload_s,index_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
1000000,128,fp32,bf,9.76,,0.2532461,0.29266042,0.3196034,0.24994342,0.2893396,0.31254363,31.635374
1000000,128,bq,bf,9.91,,0.15630312,0.19607535,0.22657765,0.1528415,0.19309755,0.21629772,54.967907
1000000,256,fp32,bf,12.69,,0.36940515,0.45902637,0.50903434,0.36600605,0.45569888,0.5054227,21.644043
1000000,256,bq,bf,12.9,,0.13202597,0.181707,0.19565791,0.12837881,0.17863436,0.19183432,73.584694
1000000,512,fp32,bf,18.95,,0.60646427,0.75529176,0.8470792,0.6028629,0.75215775,0.84410405,13.172712
1000000,512,bq,bf,19.19,,0.12860525,0.19296233,0.208285,0.12513109,0.18982406,0.20551448,73.520615
1000000,768,fp32,bf,24.77,,0.8625035,1.0717367,1.2906216,0.8590894,1.0688701,1.2870288,9.2152
1000000,768,bq,bf,25.29,,0.110097446,0.17165329,0.1815282,0.10694284,0.16759764,0.17865032,80.64703
1000000,1536,fp32,bf,42.49,,1.5667515,1.9001446,2.5094872,1.5632708,1.8968666,2.5058541,5.042082
1000000,1536,bq,bf,43.88,,0.117757045,0.17107162,0.20880704,0.114458285,0.16805416,0.2052166,62.503468
