n,dim,mode,index,upload_s,index_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
1000000,128,fp32,hnsw,9.7,565.09,0.025528844,0.04294154,0.04724432,0.023041438,0.039555594,0.04379669,258.13647
1000000,128,bq,hnsw,9.74,215.2,0.011511613,0.032510888,0.03436161,0.009075673,0.029809076,0.031305663,482.85257
1000000,256,fp32,hnsw,12.7,790.27,0.03662108,0.051964767,0.058755744,0.033961304,0.049393475,0.054588992,195.58305
1000000,256,bq,hnsw,12.94,243.32,0.012755898,0.03291867,0.035692167,0.010377511,0.03043745,0.032272454,452.59888
1000000,512,fp32,hnsw,18.82,1234.56,0.057742722,0.07264691,0.08233561,0.05458929,0.06857358,0.078453,135.50629
1000000,512,bq,hnsw,19.19,366.1,0.016599085,0.035569448,0.039797023,0.014008806,0.03275506,0.036006466,379.91354
1000000,768,fp32,hnsw,25.0,1827.88,0.09409188,0.113801464,0.12896475,0.09093399,0.109609716,0.12564275,87.118546
1000000,768,bq,hnsw,25.03,372.14,0.02063336,0.03882541,0.044024646,0.01785393,0.035964105,0.039948843,313.9269
1000000,1536,fp32,hnsw,42.65,2509.74,0.1704066,0.2050432,0.2389657,0.16707526,0.20098357,0.23577526,47.958622
1000000,1536,bq,hnsw,43.79,466.79,0.0419719,0.059223954,0.069270745,0.039083317,0.055802096,0.06529504,180.97098
