n,dim,mode,upload_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
100000,256,fp32,3.67,0.037421323,0.08885398,0.09144226,0.034024015,0.08585054,0.0884642,181.7525
100000,256,bq,3.77,0.014587351,0.07945041,0.08225283,0.011510828,0.076277,0.07891998,398.3814
100000,256,bq_norescore,3.65,0.014995658,0.08035875,0.08273874,0.011380933,0.077005655,0.0798856,400.46558
200000,256,fp32,4.57,0.079000734,0.099973164,0.121422745,0.076049834,0.096275315,0.11759832,101.675064
200000,256,bq,4.81,0.031526458,0.08550473,0.08868917,0.02873108,0.082546726,0.08575432,223.37616
200000,256,bq_norescore,4.77,0.03149218,0.08564296,0.08870751,0.028909095,0.082732156,0.08619141,221.27367
500000,256,fp32,7.57,0.18962674,0.24595875,0.32654247,0.18667336,0.24165693,0.3232942,42.10678
500000,256,bq,7.79,0.08815924,0.11165971,0.1448446,0.08501428,0.10746041,0.13944353,89.198105
500000,256,bq_norescore,7.84,0.08820878,0.11138785,0.14546853,0.08546255,0.107450604,0.14104414,87.623795
1000000,256,fp32,13.03,0.3698155,0.45929515,0.6292764,0.3662601,0.45546618,0.61177635,21.26015
1000000,256,bq,13.03,0.14779276,0.19987771,0.23224059,0.14424598,0.19649997,0.22908898,64.627655
1000000,256,bq_norescore,13.35,0.15008877,0.19451721,0.21383432,0.14674093,0.19165699,0.21141551,63.899914
