n,dim,mode,upload_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
100000,256,fp32,3.63,0.036669455,0.08720497,0.08999552,0.03318867,0.08419244,0.08718629,184.5769
100000,256,bq,3.71,0.004563725,0.08158251,0.083627746,0.001647034,0.07856715,0.080292225,413.8562
200000,256,fp32,4.57,0.07894001,0.09777609,0.10557264,0.07612592,0.09514513,0.10270159,102.2398
200000,256,bq,4.74,0.031410564,0.085859545,0.08870233,0.028675223,0.08285672,0.085806884,217.0672
500000,256,fp32,7.75,0.18852778,0.22765672,0.25751144,0.18552841,0.22443166,0.2544272,42.769478
500000,256,bq,7.97,0.08810839,0.116226286,0.14168282,0.08547183,0.1128185,0.1390783,86.87306
1000000,256,fp32,12.74,0.36886322,0.42135254,0.4894511,0.3652768,0.41796446,0.4862339,21.788635
1000000,256,bq,13.1,0.15047552,0.19982702,0.22876544,0.14710993,0.19699676,0.22446553,63.88245
2000000,256,fp32,22.76,0.44158646,0.5453055,0.599609,0.438015,0.54140747,0.59664845,18.980373
2000000,256,bq,23.36,0.19549054,0.25556472,0.3046363,0.1924675,0.25227,0.29882425,45.593876
5000000,256,fp32,55.04,1.8535703,2.5253925,7.8090878,1.8492719,2.5217927,7.8045444,4.2534213
5000000,256,bq,53.89,0.2846272,0.33518982,0.37875527,0.28148702,0.33224246,0.3756853,31.255999
10000000,256,fp32,106.66,1.2013988,1.5309606,5.758298,1.1973674,1.5276915,5.6893067,6.526688
10000000,256,bq,106.37,0.47022352,0.499996,3.8164558,0.46647727,0.49653855,3.781501,14.364494
