n,dim,mode,srv_p50_ms,srv_p95_ms,srv_p99_ms
1000,768,fp32,0.193,0.228,0.267
5000,768,fp32,0.297,0.334,0.369
10000,768,fp32,0.438,0.489,0.527
50000,768,fp32,5.078,5.301,29.655
100000,768,fp32,10.050,10.475,54.225
250000,768,fp32,24.709,25.719,29.694
500000,768,fp32,49.531,66.125,73.193
1000000,768,fp32,99.500,115.304,128.598
1000,768,bq,0.174,0.203,0.224
5000,768,bq,0.224,0.260,0.294
10000,768,bq,0.254,0.291,0.319
50000,768,bq,0.483,0.532,0.567
100000,768,bq,0.742,1.033,1.340
250000,768,bq,1.146,26.295,41.906
500000,768,bq,5.339,22.261,29.631
1000000,768,bq,7.806,30.749,34.256
