n,dim,mode,index,upload_s,index_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
100000,256,fp32,hnsw,3.59,50.28,0.022852052,0.04059705,0.046415254,0.020111104,0.03784073,0.042178825,289.25766
100000,256,bq,hnsw,3.69,24.13,0.006636735,0.033147413,0.03473961,0.004039219,0.030190699,0.031512912,761.3708
200000,256,fp32,hnsw,4.62,114.65,0.025486108,0.043341953,0.05010525,0.02297369,0.04065642,0.04511515,255.16998
200000,256,bq,hnsw,4.69,42.25,0.009252059,0.032304954,0.034218695,0.00677422,0.029658819,0.030934928,578.41943
500000,256,fp32,hnsw,7.63,345.85,0.033301946,0.050098367,0.057595026,0.030381683,0.0470549,0.053445034,204.29938
500000,256,bq,hnsw,7.75,110.58,0.011425371,0.032899316,0.035084497,0.008818591,0.030215506,0.03191236,483.99536
1000000,256,fp32,hnsw,12.84,792.29,0.040794704,0.055752937,0.064412,0.037646327,0.052737486,0.059961535,179.71568
1000000,256,bq,hnsw,13.06,257.39,0.010438642,0.03126785,0.033002444,0.007759868,0.028502608,0.02991652,518.88116
2000000,256,fp32,hnsw,23.44,1812.1,0.035272975,0.05243043,0.05910605,0.0325781,0.049777154,0.054765213,196.74481
2000000,256,bq,hnsw,23.33,571.06,0.014642621,0.03454167,0.0368654,0.01226152,0.032089815,0.033809915,404.41263
5000000,256,fp32,hnsw,53.83,4814.32,0.06854175,0.07930065,0.09956325,0.0652082,0.076138355,0.091214724,118.52681
5000000,256,bq,hnsw,55.72,1540.62,0.024186736,0.042686008,0.068358615,0.021682829,0.039789964,0.042826705,239.62114
10000000,256,fp32,hnsw,108.01,7201.58,51.18527,67.18867,103.22798,51.161804,66.68759,76.65818,0.092745885
10000000,256,bq,hnsw,109.86,3105.57,0.060231112,0.09173498,0.10267613,0.055023413,0.08876914,0.096822746,141.09517
